"year","region_id","region_name","region_ons_code","link_length_km","link_length_miles","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","LGVs","all_HGVs","all_motor_vehicles"
1998,2,"East Midlands","E12000004",30975,19247,1.97e+08,182300000,1.7935e+10,211600000,2534300000,1942800000,22806100000
1998,3,"Scotland","S92000003",59047,36690,141600000,134900000,19358400000,373700000,2831500000,1498600000,24197100000
1998,4,"Wales","W92000004",32825,20397,78200000,113900000,12320600000,171600000,1768200000,8.45e+08,15219300000
1998,5,"North West","E12000002",36360,22593,249900000,213700000,26030100000,3.79e+08,3372700000,2.105e+09,32100500000
1998,6,"London","E12000007",14523,9024,274400000,406500000,16283300000,317400000,2113800000,698600000,19819700000
1998,7,"East of England","E12000006",39074,24279,3.59e+08,295200000,25241900000,285200000,3747100000,1965800000,31535300000
1998,8,"Yorkshire and The Humber","E12000003",31429,19529,228600000,180800000,18646600000,259400000,2.679e+09,1843400000,23609200000
1998,9,"South East","E12000008",47086,29258,4.27e+08,462200000,4.104e+10,436200000,5315600000,2389200000,49643300000
1998,10,"West Midlands","E12000005",32141,19971,191800000,190200000,22492900000,333900000,3122100000,1916100000,28055200000
1998,11,"North East","E12000001",15980,9930,85600000,6.1e+07,9.251e+09,196700000,1223900000,501700000,11234300000
1999,1,"South West","E12000009",49299,30633,229400000,337900000,21992300000,2.82e+08,2969500000,1555100000,27136900000
1999,2,"East Midlands","E12000004",31041,19288,205400000,199400000,18420900000,208700000,2583600000,1978900000,23391600000
1999,3,"Scotland","S92000003",59165,36763,147800000,150100000,19628500000,380800000,2893800000,1510800000,24564100000
1999,4,"Wales","W92000004",32889,20436,81600000,1.25e+08,12552800000,175700000,1806200000,818300000,15477900000
1999,5,"North West","E12000002",36458,22654,255400000,232200000,2.6464e+10,381100000,3382800000,2.146e+09,32606100000
1999,6,"London","E12000007",14569,9053,280900000,443300000,16643700000,329800000,2224200000,6.74e+08,2.0315e+10
1999,7,"East of England","E12000006",39156,24330,373200000,325200000,25732600000,295600000,3769800000,2033800000,32157200000
1999,8,"Yorkshire and The Humber","E12000003",31506,19577,234500000,195500000,18907100000,267300000,2711800000,1845700000,23927300000
1999,9,"South East","E12000008",47199,29328,440300000,508400000,4.1913e+10,429700000,5340700000,2.463e+09,50654800000
1999,10,"West Midlands","E12000005",32215,20017,197900000,207400000,22789800000,341200000,3155100000,1927100000,28420600000
1999,11,"North East","E12000001",16017,9953,88300000,68800000,9488200000,203100000,1.218e+09,525900000,11503900000
2000,1,"South West","E12000009",49383,30685,232900000,335900000,22145900000,274300000,3075400000,1525100000,27356700000
2000,2,"East Midlands","E12000004",31103,19327,208800000,205200000,18301700000,202500000,2641600000,1966700000,23317600000
2000,3,"Scotland","S92000003",59232,36805,150300000,155100000,19537500000,372200000,2.853e+09,1513900000,24431800000
2000,4,"Wales","W92000004",32953,20476,82200000,129600000,12451900000,1.72e+08,1822500000,794500000,15370600000
2000,5,"North West","E12000002",36530,22699,260500000,2.44e+08,26389300000,363300000,3410900000,2118200000,32525800000
2000,6,"London","E12000007",14604,9075,285100000,443200000,16579100000,320800000,2246900000,698400000,20288400000
2000,7,"East of England","E12000006",39222,24371,383700000,330300000,25542900000,295100000,3791900000,2066300000,32026500000
2000,8,"Yorkshire and The Humber","E12000003",31575,19620,241100000,203700000,18851400000,262100000,2747800000,1828500000,23893500000
2000,9,"South East","E12000008",47310,29397,447300000,503200000,41755300000,418800000,5451100000,2549900000,50678300000
2000,10,"West Midlands","E12000005",32275,20055,202500000,210800000,22674700000,322900000,3188100000,1950400000,28346900000
2000,11,"North East","E12000001",16048,9972,91400000,73500000,9.317e+09,1.9e+08,1206400000,527800000,11314600000
2001,1,"South West","E12000009",49462,30734,231900000,360300000,22726700000,276200000,3163100000,1.536e+09,28062300000
2001,2,"East Midlands","E12000004",31155,19359,209800000,214500000,1.8661e+10,203100000,2736900000,1958900000,23774400000
2001,3,"Scotland","S92000003",59318,36858,146400000,162400000,19824400000,375100000,2.897e+09,1489800000,24748600000
2001,4,"Wales","W92000004",33033,20526,8.1e+07,133300000,12597300000,170100000,1854400000,774400000,15529500000
2001,5,"North West","E12000002",36617,22753,265700000,2.52e+08,2.6759e+10,359100000,3474700000,2121200000,3.2966e+10
2001,6,"London","E12000007",14640,9097,303200000,470700000,16581800000,318600000,2275200000,683600000,20329900000
2001,7,"East of England","E12000006",39288,24412,390700000,342500000,25900300000,295500000,3930100000,2062400000,32530800000
2001,8,"Yorkshire and The Humber","E12000003",31636,19658,2.46e+08,213400000,19144100000,259800000,2842800000,1806600000,24266700000
2001,9,"South East","E12000008",47399,29452,457400000,533500000,42203500000,415600000,5573100000,2551200000,5.1277e+10
2001,10,"West Midlands","E12000005",32348,20100,205200000,2.18e+08,22874600000,322100000,3230900000,1922600000,28568100000
2001,11,"North East","E12000001",16073,9987,94800000,76700000,9396500000,186900000,1224400000,521400000,1.1406e+10
2002,1,"South West","E12000009",49544,30785,2.42e+08,389300000,23550300000,280600000,3279800000,1540500000,29040500000
2002,2,"East Midlands","E12000004",31207,19391,219700000,234600000,19256400000,207900000,2859100000,1970100000,24528100000
